timestamp,event,channel,pitch,velocity
1374032313630,noteOn,0,4,29
1374032313698,noteOn,0,4,46
1374032313712,noteOn,0,4,62
1374032313722,noteOn,0,4,76
1374032313723,noteOn,9,44,12
1374032313735,noteOn,0,4,95
1374032313755,noteOn,0,4,111
1374032313782,noteOn,9,38,65
1374032313822,noteOff,9,44,64
1374032313882,noteOn,0,38,64
1374032313958,noteOn,9,46,45
1374032313966,noteOn,0,36,53
1374032314023,noteOn,0,4,127
1374032314024,noteOff,9,46,64
1374032314025,noteOn,9,46,9
1374032314045,noteOff,9,46,64
1374032314045,noteOn,9,46,10
1374032314058,noteOff,9,46,64
1374032314066,noteOn,0,36,64
1374032314389,noteOn,9,46,42
1374032314487,noteOff,9,46,64
1374032314684,noteOn,9,36,43
1374032314785,noteOff,9,36,64
1374032314843,noteOn,9,46,65
1374032314943,noteOff,9,46,64
1374032315175,noteOn,9,38,98
1374032315275,noteOff,9,38,64
1374032315328,noteOn,9,36,52
1374032315362,noteOn,9,46,57
1374032315408,noteOff,9,46,64
1374032315410,noteOn,9,46,21
1374032315428,noteOff,9,36,64
1374032315462,noteOn,0,46,64
1374032315924,noteOn,9,46,57
1374032316023,noteOff,9,46,64
1374032316460,noteOn,9,46,51
1374032316559,noteOff,9,46,64
1374032316744,noteOn,9,36,50
1374032316844,noteOff,9,36,64
1374032317010,noteOn,9,38,98
1374032317012,noteOn,9,46,58
1374032317110,noteOff,9,38,64
1374032317111,noteOn,0,46,64
1374032317138,noteOn,9,46,8
1374032317237,noteOff,9,46,64
1374032317547,noteOn,9,36,43
1374032317606,noteOn,9,46,52
1374032317648,noteOff,9,36,64
1374032317705,noteOn,0,46,64
1374032318024,noteOn,9,38,93
1374032318125,noteOff,9,38,64
1374032318159,noteOn,9,38,76
1374032318259,noteOff,9,38,64
1374032318265,noteOn,9,38,40
1374032318361,noteOff,9,38,64
1374032318362,noteOn,9,38,40
1374032318365,noteOff,9,38,64
1374032318452,noteOn,9,38,39
1374032318461,noteOff,9,38,64
1374032318532,noteOn,9,38,43
1374032318552,noteOff,9,38,64
1374032318613,noteOn,9,38,54
1374032318632,noteOff,9,38,64
1374032318703,noteOn,9,38,75
1374032318713,noteOff,9,38,64
1374032318819,noteOn,9,45,45
1374032318920,noteOff,9,45,64
1374032319156,noteOn,9,38,99
1374032319256,noteOff,9,38,64
1374032319492,noteOn,9,38,106
1374032319592,noteOff,9,38,64
1374032319837,noteOn,9,38,94
1374032319860,noteOn,0,48,96
1374032319937,noteOff,9,38,64
1374032319960,noteOn,0,48,64
1374032320238,noteOn,9,36,53
1374032320338,noteOff,9,36,64
1374032320518,noteOn,9,45,79
1374032320526,noteOn,0,43,80
1374032320618,noteOff,9,45,64
1374032320627,noteOn,0,43,64
1374032321056,noteOn,9,43,65
1374032321156,noteOff,9,43,64
1374032321189,noteOn,9,43,66
1374032321290,noteOff,9,43,64
1374032321297,noteOn,9,38,65
1374032321397,noteOff,9,38,64
1374032321683,noteOn,9,43,37
1374032321783,noteOff,9,43,64
1374032321784,noteOn,9,43,50
1374032321872,noteOn,9,38,100
1374032321885,noteOff,9,43,64
1374032321972,noteOn,0,38,64
1374032322239,noteOn,9,43,80
1374032322340,noteOff,9,43,64
1374032322926,noteOn,9,38,24
1374032323019,noteOff,9,38,64
1374032323019,noteOn,9,38,33
1374032323026,noteOff,9,38,64
1374032323129,noteOn,9,38,39
1374032323196,noteOff,9,38,64
1374032323197,noteOn,9,38,34
1374032323229,noteOff,9,38,64
1374032323290,noteOn,9,38,39
1374032323297,noteOff,9,38,64
1374032323358,noteOn,9,38,55
1374032323390,noteOff,9,38,64
1374032323455,noteOn,9,38,51
1374032323458,noteOff,9,38,64
1374032323522,noteOn,9,38,54
1374032323555,noteOff,9,38,64
1374032323616,noteOn,9,38,54
1374032323622,noteOff,9,38,64
1374032323684,noteOn,9,38,52
1374032323717,noteOff,9,38,64
1374032323767,noteOn,9,38,46
1374032323785,noteOff,9,38,64
1374032323849,noteOn,9,38,44
1374032323867,noteOff,9,38,64
1374032323921,noteOn,9,38,48
1374032323949,noteOff,9,38,64
1374032324008,noteOn,9,38,48
1374032324021,noteOff,9,38,64
1374032324082,noteOn,9,38,45
1374032324108,noteOff,9,38,64
1374032324169,noteOn,9,38,45
1374032324182,noteOff,9,38,64
1374032324255,noteOn,9,38,32
1374032324269,noteOff,9,38,64
1374032324341,noteOn,9,38,42
1374032324355,noteOff,9,38,64
1374032324428,noteOn,9,38,23
1374032324442,noteOff,9,38,64
1374032324515,noteOn,9,38,35
1374032324528,noteOff,9,38,64
1374032324598,noteOn,9,38,26
1374032324616,noteOff,9,38,64
1374032324704,noteOn,9,38,41
1374032324796,noteOff,9,38,64
1374032324797,noteOn,9,38,28
1374032324805,noteOff,9,38,64
1374032324927,noteOn,9,38,47
1374032325028,noteOff,9,38,64
1374032325077,noteOn,9,38,49
1374032325178,noteOff,9,38,64
1374032325245,noteOn,9,38,49
1374032325347,noteOff,9,38,64
1374032325461,noteOn,9,38,48
1374032325562,noteOff,9,38,64
1374032325699,noteOn,9,38,49
1374032325800,noteOff,9,38,64
1374032325973,noteOn,9,38,80
1374032326073,noteOff,9,38,64
1374032326338,noteOn,9,38,96
1374032326438,noteOff,9,38,64
1374032326791,noteOn,9,38,81
1374032326891,noteOff,9,38,64
1374032327984,noteOn,9,38,102
1374032328059,noteOff,9,38,64
1374032328060,noteOn,9,38,75
1374032328084,noteOff,9,38,64
1374032328122,noteOn,9,43,89
1374032328222,noteOff,9,43,64
1374032328239,noteOn,9,36,64
1374032328339,noteOff,9,36,64
1374032335410,noteOn,0,4,127
1374032336802,noteOn,9,36,50
1374032336902,noteOff,9,36,64
1374032337238,noteOn,9,36,55
1374032337338,noteOff,9,36,64
1374032337396,noteOn,9,38,96
1374032337497,noteOff,9,38,64
1374032337631,noteOn,9,38,66
1374032337732,noteOff,9,38,64
1374032337881,noteOn,9,36,55
1374032337982,noteOff,9,36,64
1374032338310,noteOn,9,36,45
1374032338410,noteOff,9,36,64
1374032338442,noteOn,9,43,126
1374032338542,noteOff,9,43,64
1374032338731,noteOn,9,43,57
1374032338832,noteOff,9,43,64
1374032338844,noteOn,9,43,53
1374032338945,noteOff,9,43,64
1374032338975,noteOn,9,51,53
1374032339006,noteOn,0,36,65
1374032339076,noteOff,9,51,64
1374032339106,noteOn,0,36,64
1374032339408,noteOn,9,36,62
1374032339508,noteOff,9,36,64
1374032339554,noteOn,9,43,127
1374032339655,noteOff,9,43,64
1374032339810,noteOn,9,43,120
1374032339911,noteOff,9,43,64
1374032340033,noteOn,9,36,61
1374032340133,noteOff,9,36,64
1374032340385,noteOn,0,4,127
1374032340386,noteOn,9,46,47
1374032340485,noteOff,9,46,64
1374032340490,noteOn,9,46,41
1374032340589,noteOff,9,46,64
1374032340616,noteOn,9,46,42
1374032340716,noteOff,9,46,64
1374032341190,noteOn,9,36,65
1374032341290,noteOff,9,36,64
1374032341577,noteOn,9,46,46
1374032341677,noteOff,9,46,64
1374032341735,noteOn,9,43,83
1374032341836,noteOff,9,43,64
1374032341968,noteOn,9,43,127
1374032342069,noteOff,9,43,64
1374032342224,noteOn,9,36,62
1374032342324,noteOff,9,36,64
1374032342492,noteOn,9,46,45
1374032342592,noteOff,9,46,64
1374032342732,noteOn,9,46,45
1374032342811,noteOn,0,38,104
1374032342832,noteOff,9,46,64
1374032342912,noteOff,9,38,64
1374032343047,noteOn,9,46,42
1374032343147,noteOff,9,46,64
1374032343323,noteOn,9,36,66
1374032343424,noteOff,9,36,64
1374032343665,noteOn,9,46,43
1374032343765,noteOff,9,46,64
1374032343827,noteOn,9,43,97
1374032343928,noteOff,9,43,64
1374032344100,noteOn,9,43,108
1374032344201,noteOff,9,43,64
1374032344388,noteOn,9,36,49
1374032344405,noteOn,9,46,25
1374032344489,noteOff,9,36,64
1374032344505,noteOn,0,46,64
1374032344525,noteOn,9,46,36
1374032344625,noteOff,9,46,64
1374032344650,noteOn,9,46,25
1374032344750,noteOff,9,46,64
1374032344778,noteOn,9,46,35
1374032344878,noteOff,9,46,64
1374032344913,noteOn,9,38,115
1374032345014,noteOff,9,38,64
1374032345206,noteOn,9,46,45
1374032345307,noteOff,9,46,64
1374032345312,noteOn,9,46,42
1374032345413,noteOff,9,46,64
1374032345428,noteOn,9,36,60
1374032345528,noteOff,9,36,64
1374032345831,noteOn,9,46,46
1374032345931,noteOff,9,46,64
1374032345961,noteOn,9,43,78
1374032346062,noteOff,9,43,64
1374032346249,noteOn,9,46,55
1374032346335,noteOff,9,46,64
1374032346336,noteOn,9,46,11
1374032346349,noteOff,9,46,64
1374032346566,noteOn,9,36,60
1374032346666,noteOff,9,36,64
1374032346677,noteOn,9,46,43
1374032346777,noteOff,9,46,64
1374032347005,noteOn,9,46,35
1374032347106,noteOff,9,46,64
1374032347110,noteOn,9,38,107
1374032347211,noteOff,9,38,64
1374032347356,noteOn,9,46,23
1374032347456,noteOff,9,46,64
1374032347475,noteOn,0,4,127
1374032347475,noteOn,9,46,31
1374032347576,noteOff,9,46,64
1374032347615,noteOn,9,46,42
1374032347623,noteOn,0,36,58
1374032347715,noteOff,9,46,64
1374032347723,noteOn,0,36,64
1374032347877,noteOn,9,46,32
1374032347977,noteOff,9,46,64
1374032347991,noteOn,9,46,30
1374032348091,noteOff,9,46,64
1374032348149,noteOn,9,43,127
1374032348249,noteOff,9,43,64
1374032348429,noteOn,9,43,127
1374032348530,noteOff,9,43,64
1374032348681,noteOn,9,36,60
1374032348725,noteOn,9,46,14
1374032348781,noteOff,9,36,64
1374032348821,noteOff,9,46,64
1374032348822,noteOn,9,46,42
1374032348826,noteOff,9,46,64
1374032348949,noteOn,9,46,43
1374032349049,noteOff,9,46,64
1374032349080,noteOn,9,46,28
1374032349180,noteOff,9,46,64
1374032349217,noteOn,9,38,111
1374032349317,noteOff,9,38,64
1374032349533,noteOn,9,38,30
1374032349634,noteOff,9,38,64
1374032349641,noteOn,9,46,73
1374032349741,noteOff,9,46,64
1374032349770,noteOn,9,36,62
1374032349780,noteOn,9,46,25
1374032349871,noteOff,9,36,64
1374032349879,noteOn,0,46,64
1374032349920,noteOn,9,46,23
1374032350020,noteOff,9,46,64
1374032350027,noteOn,9,46,26
1374032350127,noteOff,9,46,64
1374032350142,noteOn,9,46,25
1374032350242,noteOff,9,46,64
1374032350307,noteOn,9,43,127
1374032350407,noteOff,9,43,64
1374032350591,noteOn,9,43,127
1374032350692,noteOff,9,43,64
1374032350849,noteOn,9,36,60
1374032350949,noteOff,9,36,64
1374032351007,noteOn,9,46,37
1374032351107,noteOff,9,46,64
1374032351144,noteOn,9,46,51
1374032351231,noteOff,9,46,64
1374032351232,noteOn,9,46,7
1374032351244,noteOff,9,46,64
1374032351257,noteOn,9,46,33
1374032351331,noteOff,9,46,64
1374032351395,noteOn,9,38,111
1374032351496,noteOff,9,38,64
1374032351686,noteOn,9,38,89
1374032351787,noteOff,9,38,64
1374032351808,noteOn,9,46,48
1374032351908,noteOff,9,46,64
1374032351933,noteOn,9,36,57
1374032351949,noteOn,9,46,18
1374032352033,noteOff,9,36,64
1374032352049,noteOn,0,46,64
1374032352069,noteOn,9,46,18
1374032352169,noteOff,9,46,64
1374032352207,noteOn,9,46,12
1374032352307,noteOff,9,46,64
1374032352327,noteOn,9,46,18
1374032352427,noteOff,9,46,64
1374032352491,noteOn,9,43,127
1374032352591,noteOff,9,43,64
1374032352770,noteOn,9,43,127
1374032352871,noteOff,9,43,64
1374032353039,noteOn,9,36,59
1374032353057,noteOn,9,46,35
1374032353139,noteOff,9,36,64
1374032353157,noteOn,0,46,64
1374032353178,noteOn,9,46,35
1374032353278,noteOff,9,46,64
1374032353309,noteOn,9,46,36
1374032353409,noteOff,9,46,64
1374032353436,noteOn,9,46,30
1374032353536,noteOff,9,46,64
1374032353578,noteOn,9,38,112
1374032353679,noteOff,9,38,64
1374032353866,noteOn,9,46,37
1374032353966,noteOff,9,46,64
1374032353973,noteOn,9,38,92
1374032354074,noteOff,9,38,64
1374032354116,noteOn,9,36,61
1374032354217,noteOff,9,36,64
1374032354233,noteOn,9,46,24
1374032354333,noteOff,9,46,64
1374032354359,noteOn,9,46,48
1374032354459,noteOff,9,46,64
1374032354541,noteOn,9,46,31
1374032354642,noteOff,9,46,64
1374032354663,noteOn,9,43,127
1374032354764,noteOff,9,43,64
1374032354958,noteOn,9,46,18
1374032355058,noteOff,9,46,64
1374032355060,noteOn,9,46,42
1374032355160,noteOff,9,46,64
1374032355185,noteOn,9,46,45
1374032355202,noteOn,0,36,58
1374032355286,noteOff,9,46,64
1374032355303,noteOn,0,36,64
1374032355304,noteOn,9,46,26
1374032355404,noteOff,9,46,64
1374032355443,noteOn,9,46,13
1374032355543,noteOff,9,46,64
1374032355556,noteOn,9,46,18
1374032355656,noteOff,9,46,64
1374032355709,noteOn,9,38,127
1374032355810,noteOff,9,38,64
1374032356013,noteOn,9,46,24
1374032356114,noteOff,9,46,64
1374032356129,noteOn,9,46,28
1374032356230,noteOff,9,46,64
1374032356259,noteOn,9,36,57
1374032356263,noteOn,9,46,35
1374032356360,noteOff,9,36,64
1374032356362,noteOn,0,46,64
1374032356385,noteOn,9,46,17
1374032356485,noteOff,9,46,64
1374032356501,noteOn,9,46,27
1374032356601,noteOff,9,46,64
1374032356631,noteOn,9,46,36
1374032356731,noteOff,9,46,64
1374032356780,noteOn,9,43,114
1374032356881,noteOff,9,43,64
1374032357062,noteOn,9,43,94
1374032357162,noteOff,9,43,64
1374032357311,noteOn,9,36,60
1374032357351,noteOn,9,46,21
1374032357411,noteOff,9,36,64
1374032357451,noteOn,0,46,64
1374032357469,noteOn,9,46,26
1374032357569,noteOff,9,46,64
1374032357586,noteOn,9,46,46
1374032357686,noteOff,9,46,64
1374032357742,noteOn,9,46,17
1374032357842,noteOff,9,46,64
1374032357860,noteOn,9,38,115
1374032357960,noteOff,9,38,64
1374032358005,noteOn,9,46,26
1374032358105,noteOff,9,46,64
1374032358147,noteOn,9,46,21
1374032358248,noteOff,9,46,64
1374032358264,noteOn,9,38,92
1374032358365,noteOff,9,38,64
1374032358426,noteOn,9,36,62
1374032358526,noteOff,9,36,64
1374032358707,noteOn,0,4,127
1374032358707,noteOn,9,46,24
1374032358808,noteOff,9,46,64
1374032358856,noteOn,9,46,21
1374032358956,noteOff,9,46,64
1374032359233,noteOn,9,43,55
1374032359334,noteOff,9,43,64
1374032359508,noteOn,9,36,61
1374032359544,noteOn,0,4,126
1374032359545,noteOn,9,46,33
1374032359608,noteOff,9,36,64
1374032359644,noteOn,0,46,64
1374032359668,noteOn,9,46,24
1374032359768,noteOff,9,46,64
1374032359788,noteOn,9,46,35
1374032359888,noteOff,9,46,64
1374032359917,noteOn,9,46,19
1374032360017,noteOff,9,46,64
1374032360049,noteOn,9,38,119
1374032360150,noteOff,9,38,64
1374032360187,noteOn,9,46,33
1374032360287,noteOff,9,46,64
1374032360331,noteOn,9,46,20
1374032360431,noteOff,9,46,64
1374032360439,noteOn,9,38,94
1374032360539,noteOff,9,38,64
1374032360594,noteOn,9,36,60
1374032360694,noteOff,9,36,64
1374032362069,noteOn,0,4,111
1374032362223,noteOn,9,38,104
1374032362299,noteOn,0,4,113
1374032362324,noteOff,9,38,64
1374032362509,noteOn,9,46,44
1374032362544,noteOn,0,4,127
1374032362609,noteOff,9,46,64
1374032362632,noteOn,9,46,36
1374032362721,noteOn,0,36,62
1374032362732,noteOff,9,46,64
1374032362747,noteOn,9,46,48
1374032362822,noteOff,9,36,64
1374032362847,noteOn,0,46,64
1374032362870,noteOn,9,46,37
1374032362970,noteOff,9,46,64
1374032363123,noteOn,9,46,18
1374032363223,noteOff,9,46,64
1374032363269,noteOn,9,43,121
1374032363370,noteOff,9,43,64
1374032363542,noteOn,9,43,127
1374032363642,noteOff,9,43,64
1374032363802,noteOn,9,36,63
1374032363902,noteOff,9,36,64
1374032363947,noteOn,9,46,40
1374032364047,noteOff,9,46,64
1374032364078,noteOn,9,46,73
1374032364178,noteOff,9,46,64
1374032364189,noteOn,9,46,4
1374032364213,noteOff,9,46,64
